,Country,Total Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Alpha3 code,Region,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Continent
131,Senegal,88373.0,1968.0,,86297.0,108.0,,5006.0,111.0,1146543.0,64946.0,17653671.0,SEN,Sub-Saharan Africa,196190,61.1,0.27,0.2,55.51,1600.0,40.2,22.2,12.78,0.21,87.01,2.0,32.78,9.42,0.172,0.209,0.619,Africa
132,Malawi,88024.0,2682.0,,84872.0,470.0,67.0,4362.0,133.0,616772.0,30562.0,20180839.0,MWI,Sub-Saharan Africa,118480,109.8,0.0,0.0,103.32,600.0,62.7,7.9,23.38,1.49,75.13,2.0,43.13,19.33,0.342,0.158,0.499,Africa
133,Ivory Coast,87208.0,826.0,,86338.0,44.0,,3144.0,30.0,1628106.0,58687.0,27742298.0,CIV,Sub-Saharan Africa,322460,54.8,0.16,-0.07,90.83,1400.0,50.9,14.6,9.75,13.84,76.41,2.0,35.11,14.84,0.279,0.171,0.55,Africa
134,Suriname,81106.0,1385.0,,,,,135894.0,2321.0,239178.0,400747.0,596831.0,SUR,Latin Amer. & Carib,163270,2.7,0.24,-8.81,23.57,4000.0,93.0,184.7,0.37,0.06,99.57,2.0,18.02,7.27,0.13,0.22,0.65,South America
135,French Polynesia,76599.0,649.0,,,,7.0,269559.0,2284.0,,,284164.0,PYF,Oceania,4167,65.9,60.6,2.94,8.44,17500.0,98.0,194.5,0.82,5.46,93.72,2.0,16.68,4.69,0.031,0.19,0.769,Oceania
136,New Caledonia,74152.0,314.0,,73823.0,15.0,9.0,254892.0,1079.0,98964.0,340182.0,290915.0,NCL,Oceania,19060,11.5,11.83,0.0,7.72,15000.0,91.0,252.2,0.38,0.33,99.29,2.0,18.11,5.69,0.15,0.088,0.762,Oceania
137,Eswatini,73390.0,1422.0,,71955.0,13.0,11.0,61942.0,1200.0,1045903.0,882755.0,1184817.0,SWZ,Sub-Saharan Africa,17363,65.5,0.0,0.0,69.27,4900.0,81.6,30.8,10.35,0.7,88.95,2.5,27.41,29.74,0.119,0.515,0.366,Africa
138,Guyana,71336.0,1281.0,,69977.0,78.0,,89839.0,1613.0,695695.0,876141.0,794045.0,GUY,Latin Amer. & Carib,214970,3.6,0.21,-2.07,33.26,4000.0,98.8,143.5,2.44,0.15,97.41,2.0,18.28,8.28,0.37,0.203,0.427,South America
139,Belize,68826.0,683.0,,68079.0,64.0,6.0,166976.0,1657.0,576016.0,1397453.0,412190.0,BLZ,Latin Amer. & Carib,22966,12.5,1.68,0.0,25.69,4900.0,94.1,115.7,2.85,1.71,95.44,2.0,28.84,5.72,0.142,0.152,0.612,North America
140,Fiji,68242.0,878.0,,66302.0,1062.0,,75035.0,965.0,662620.0,728581.0,909466.0,FJI,Oceania,18270,49.6,6.18,-3.14,12.62,5800.0,93.7,112.6,10.95,4.65,84.4,2.0,22.55,5.65,0.089,0.135,0.776,Oceania
141,Madagascar,66676.0,1410.0,,65242.0,24.0,,2285.0,48.0,512993.0,17581.0,29178077.0,MDG,Sub-Saharan Africa,587040,31.7,0.82,0.0,76.83,800.0,68.9,3.6,5.07,1.03,93.91,2.0,41.41,11.11,0.276,0.165,0.559,Africa
142,Sudan,63285.0,4961.0,,57290.0,1034.0,,1376.0,108.0,562941.0,12240.0,45992020.0,SDN,Sub-Saharan Africa,2505810,16.5,0.03,-0.02,62.5,1900.0,61.1,16.3,6.83,0.18,92.99,2.0,34.53,8.97,0.387,0.203,0.41,Africa
143,Mauritania,62812.0,995.0,,61789.0,28.0,,12814.0,203.0,970892.0,198061.0,4901981.0,MRT,Sub-Saharan Africa,1030700,3.1,0.07,0.0,70.89,1800.0,41.7,12.9,0.48,0.01,99.51,1.0,40.99,12.16,0.25,0.29,0.46,Africa
144,Cabo Verde,62371.0,410.0,,61890.0,71.0,23.0,109870.0,722.0,401622.0,707482.0,567678.0,CPV,Sub-Saharan Africa,4033,104.4,23.93,-12.07,47.77,1400.0,76.6,169.6,9.68,0.5,89.82,3.0,24.87,6.55,0.121,0.219,0.66,Africa
145,Bhutan,61730.0,21.0,,61564.0,145.0,,78343.0,27.0,2303734.0,2923739.0,787941.0,BTN,Asia (Ex. Near East),47000,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,2.0,33.65,12.7,0.258,0.379,0.363,Asia
146,Syria,57299.0,3163.0,,54078.0,58.0,,2959.0,163.0,146269.0,7553.0,19364809.0,SYR,Near East,185180,102.0,0.1,0.0,29.53,3300.0,76.9,153.8,25.22,4.43,70.35,1.0,27.76,4.81,0.249,0.23,0.519,Asia
147,Burundi,50129.0,38.0,,49559.0,532.0,,3971.0,3.0,345742.0,27386.0,12624840.0,BDI,Sub-Saharan Africa,27830,290.7,0.0,-0.06,69.29,600.0,51.6,3.4,35.05,14.02,50.93,2.0,42.22,13.46,0.463,0.203,0.334,Africa
148,Gabon,48691.0,306.0,,48292.0,93.0,,20884.0,131.0,1616256.0,693216.0,2331533.0,GAB,Sub-Saharan Africa,267667,5.3,0.33,0.0,53.64,5500.0,63.2,27.4,1.26,0.66,98.08,2.0,36.16,12.25,0.061,0.592,0.348,Africa
149,Seychelles,47141.0,169.0,,46446.0,526.0,,474132.0,1700.0,,,99426.0,SYC,Sub-Saharan Africa,455,179.2,107.91,-5.69,15.53,7800.0,58.0,262.4,2.22,13.33,84.45,2.0,16.03,6.29,0.032,0.304,0.665,Africa
150,Andorra,46227.0,155.0,,46011.0,61.0,14.0,596762.0,2001.0,249838.0,3225256.0,77463.0,AND,Western Europe,468,152.1,0.0,6.6,4.05,19000.0,100.0,497.2,2.22,0.0,97.78,3.0,8.71,6.25,,,,Europe
151,Papua New Guinea,44997.0,668.0,,43982.0,347.0,7.0,4842.0,72.0,249149.0,26813.0,9292169.0,PNG,Oceania,462840,12.3,1.11,0.0,51.45,2200.0,64.6,10.9,0.46,1.44,98.1,2.0,29.36,7.25,0.353,0.381,0.266,Oceania
152,Aruba,42914.0,227.0,,42438.0,249.0,2.0,398796.0,2109.0,177885.0,1653068.0,107609.0,ABW,Latin Amer. & Carib,193,372.5,35.49,0.0,5.89,28000.0,97.0,516.1,10.53,0.0,89.47,2.0,11.03,6.68,0.004,0.333,0.663,North America
153,Mauritius,40461.0,1024.0,,38786.0,651.0,,31741.0,803.0,358675.0,281374.0,1274727.0,MUS,Sub-Saharan Africa,2040,608.3,8.68,-0.9,15.03,11400.0,85.6,289.3,49.26,2.96,47.78,2.0,15.43,6.86,0.059,0.298,0.643,Africa
154,Mayotte,40243.0,187.0,,,,,140582.0,653.0,176919.0,618038.0,286259.0,MYT,Sub-Saharan Africa,374,538.1,49.52,6.78,62.4,2600.0,,49.7,,,,2.0,40.95,7.7,,,,Africa
